演员,关系,戏园
姜妙香,演出于,三庆园
姜妙香,演出于,中和戏院
姜妙香,演出于,华乐戏院
姜妙香,演出于,文明茶园
姜妙香,演出于,吉祥园
姜妙香,演出于,吉祥园双庆社
姜妙香,演出于,吉祥大戏院
姜妙香,演出于,哈尔飞戏院
姜妙香,演出于,第一舞台
姜妙香,演出于,新新戏院
姜妙香,演出于,消闲友会
李顺亭,演出于,三庆园
李顺亭,演出于,广和楼
李顺亭,演出于,文明茶园
李顺亭,演出于,吉祥园
李顺亭,演出于,吉祥园双庆社
李顺亭,演出于,同乐茶园
李顺亭,演出于,庆升茶园
李顺亭,演出于,庆乐园
李顺亭,演出于,庆乐茶园
李顺亭,演出于,第一舞台
梅兰芳,演出于,三庆园
梅兰芳,演出于,天乐茶园
梅兰芳,演出于,吉祥园
梅兰芳,演出于,吉祥园双庆社
梅兰芳,演出于,第一舞台
梅兰芳,演出于,消闲友会
郭春山,演出于,三庆园
郭春山,演出于,中和戏院
郭春山,演出于,华乐园
郭春山,演出于,文明茶园
郭春山,演出于,长安大戏院
郭春山,演出于,吉祥茶园
郭春山,演出于,吉祥园
郭春山,演出于,吉祥大戏院
郭春山,演出于,吉祥戏院
郭春山,演出于,吉祥园双庆社
郭春山,演出于,同乐茶园
郭春山,演出于,哈尔飞戏院
郭春山,演出于,第一舞台
郭春山,演出于,新新大戏院
郭春山,演出于,新新戏院
王凤卿,演出于,三庆园
王凤卿,演出于,中和戏院
王凤卿,演出于,中和大戏院
王凤卿,演出于,华乐戏院
王凤卿,演出于,开明戏院
王凤卿,演出于,文明茶园
王凤卿,演出于,长安大戏院
王凤卿,演出于,长安戏院
王凤卿,演出于,吉祥园
王凤卿,演出于,吉祥园双庆社
王凤卿,演出于,吉祥戏院
王凤卿,演出于,吉祥大戏院
王凤卿,演出于,第一舞台
王凤卿,演出于,消闲友会
李敬山,演出于,三庆园
李敬山,演出于,大舞台
李敬山,演出于,天乐茶园
李敬山,演出于,吉祥茶园
李敬山,演出于,吉祥园
李敬山,演出于,吉祥园双庆社
李敬山,演出于,同乐园松庆社
李敬山,演出于,同乐茶园
李敬山,演出于,春仙茶园
李敬山,演出于,燕喜茶园
荣长亮,演出于,三庆园
陈春太,演出于,三庆园
张春芳,演出于,三庆园
姚玉芙,演出于,三庆园
姚玉芙,演出于,吉祥园
姚玉芙,演出于,吉祥园双庆社
姚玉芙,演出于,消闲友会
刘鹤亭,演出于,三庆园
刘鹤亭,演出于,广和楼
崔幼春,演出于,三庆园
崔幼春,演出于,吉祥舞台
崔幼春,演出于,庆乐茶园
张荣奎,演出于,三庆园
张荣奎,演出于,牡丹园春庆社
张荣奎,演出于,文明茶园
张荣奎,演出于,吉祥园
张荣奎,演出于,同乐茶园
张荣奎,演出于,庆乐园
张荣奎,演出于,庆乐茶园
张荣奎,演出于,春仙茶园
林春竹,演出于,三庆园
林春竹,演出于,广兴茶园
刘春立,演出于,三庆园
刘春立,演出于,中和戏院
王昆山,演出于,三庆园
王昆山,演出于,庆乐园
万宝奎,演出于,三庆园
诸如香,演出于,三庆园
诸如香,演出于,中和戏院
诸如香,演出于,华乐园
诸如香,演出于,文明茶园
诸如香,演出于,吉祥茶园
诸如香,演出于,吉祥园双庆社
诸如香,演出于,吉祥园
诸如香,演出于,吉祥大戏院
诸如香,演出于,吉祥戏院
诸如香,演出于,庆乐茶园
诸如香,演出于,第一舞台
诸如香,演出于,景泰茶园
诸如香,演出于,新新大戏院
诸如香,演出于,消闲友会
德珺如,演出于,三庆园
德珺如,演出于,大舞台
德珺如,演出于,广和楼
德珺如,演出于,中华舞台
德珺如,演出于,开明戏院
德珺如,演出于,庆乐园
德珺如,演出于,第一舞台
德珺如,演出于,景泰茶园
张文斌,演出于,三庆园
张文斌,演出于,丹桂茶园
张文斌,演出于,牡丹园春庆社
张文斌,演出于,华乐园
张文斌,演出于,文明茶园
张文斌,演出于,同乐茶园
张文斌,演出于,庆乐园
张文斌,演出于,庆乐茶园
张文斌,演出于,第一舞台
周春亭,演出于,三庆园
周春亭,演出于,吉祥大戏院
周春亭,演出于,第一舞台
周春亭,演出于,新新大戏院
周瑞安,演出于,三庆园
周瑞安,演出于,广和楼
周瑞安,演出于,中和戏院
周瑞安,演出于,丹桂茶园
周瑞安,演出于,吉祥大戏院
周瑞安,演出于,庆升园
周瑞安,演出于,春仙茶园
周瑞安,演出于,第一舞台
周瑞安,演出于,新新大戏院
陈玉林,演出于,三庆园
陈玉林,演出于,吉祥园
陈玉林,演出于,吉祥园双庆社
陈玉林,演出于,第一舞台
尚小云,演出于,三庆园
尚小云,演出于,中和戏院
尚小云,演出于,中和大戏院
尚小云,演出于,华乐戏院
尚小云,演出于,开明戏院
尚小云,演出于,长安大戏院
尚小云,演出于,长安戏院
尚小云,演出于,民乐茶园
尚小云,演出于,吉祥戏院
尚小云,演出于,吉祥大戏院
尚小云,演出于,庆乐园
尚小云,演出于,庆乐茶园
尚小云,演出于,第一舞台
尚小云,演出于,新新戏院
尚小云,演出于,消闲友会
罗文奎,演出于,三庆园
罗文奎,演出于,中和戏院
罗文奎,演出于,华乐园
罗文奎,演出于,吉祥园双庆社
罗文奎,演出于,吉祥园
罗文奎,演出于,吉祥大戏院
罗文奎,演出于,庆乐茶园
罗文奎,演出于,庆乐戏院
罗文奎,演出于,哈尔飞戏院
龚云甫,演出于,三庆园
龚云甫,演出于,广和楼
龚云甫,演出于,同乐园松庆社
龚云甫,演出于,庆乐园
龚云甫,演出于,庆乐茶园
龚云甫,演出于,春仙茶园
龚云甫,演出于,景泰茶园
郝寿臣,演出于,三庆园
郝寿臣,演出于,中和戏院
郝寿臣,演出于,天乐茶园
郝寿臣,演出于,华乐园
郝寿臣,演出于,长安大戏院
郝寿臣,演出于,吉祥大戏院
郝寿臣,演出于,同乐园松庆社
郝寿臣,演出于,庆乐园
郝寿臣,演出于,庆乐茶园
郝寿臣,演出于,哈尔飞戏院
郝寿臣,演出于,第一舞台
郝寿臣,演出于,新新戏院
郝寿臣,演出于,消闲友会
王又宸,演出于,三庆园
王又宸,演出于,中和戏院
王又宸,演出于,华乐戏院
王又宸,演出于,文明茶园
王又宸,演出于,庆乐园
王又宸,演出于,庆乐茶园
王又宸,演出于,哈尔飞戏院
董俊峯,演出于,三庆园
董俊峯,演出于,庆乐园
钱宝奎,演出于,三庆园
律佩芳,演出于,三庆园
律佩芳,演出于,牡丹园春庆社
律佩芳,演出于,华乐园
律佩芳,演出于,长安大戏院
律佩芳,演出于,吉祥大戏院
律佩芳,演出于,吉祥茶园
律佩芳,演出于,庆乐茶园
律佩芳,演出于,哈尔飞戏院
律佩芳,演出于,新新大戏院
律佩芳,演出于,消闲友会
雷喜福,演出于,三庆园
